ts_rx_ns,seq,stream_id
1700000000032665344,1,camera_front
1700000000066237346,2,camera_front
1700000000099760716,3,camera_front
1700000000132734023,4,camera_front
1700000000165326471,5,camera_front
1700000000198676959,6,camera_front
1700000000232808576,7,camera_front
1700000000266800843,8,camera_front
1700000000300847022,9,camera_front
1700000000334619760,10,camera_front
1700000000367818458,11,camera_front
1700000000400404821,12,camera_front
1700000000432957125,13,camera_front
1700000000466289568,14,camera_front
1700000000499707810,15,camera_front
1700000000533347329,16,camera_front
1700000000566798645,17,camera_front
1700000000600491075,18,camera_front
1700000000633508237,19,camera_front
1700000000667637060,20,camera_front
1700000000700777776,21,camera_front
1700000000734183568,22,camera_front
1700000000767883537,23,camera_front
1700000000800626252,24,camera_front
1700000000834676832,25,camera_front
1700000000867463356,26,camera_front
1700000000901509418,27,camera_front
1700000000935092671,28,camera_front
1700000000968510893,29,camera_front
1700000001002449625,30,camera_front
1700000001035578550,31,camera_front
1700000001069158788,32,camera_front
1700000001102751444,33,camera_front
1700000001135356849,34,camera_front
1700000001169449565,35,camera_front
1700000001202851444,36,camera_front
1700000001236154358,37,camera_front
1700000001270161741,38,camera_front
1700000001304242891,39,camera_front
1700000001337696460,40,camera_front
1700000001370455808,41,camera_front
1700000001404081295,42,camera_front
1700000001437391337,43,camera_front
1700000001469986360,44,camera_front
1700000001503166393,45,camera_front
1700000001536988744,46,camera_front
1700000001570347182,47,camera_front
1700000001603233749,48,camera_front
1700000001635792547,49,camera_front
1700000001669457206,50,camera_front
1700000001703140155,51,camera_front
1700000001736750612,52,camera_front
1700000001770495335,53,camera_front
1700000001803593054,54,camera_front
1700000001837403103,55,camera_front
1700000001869948075,56,camera_front
1700000001904034023,57,camera_front
1700000001936838078,58,camera_front
1700000001970548330,59,camera_front
1700000002003199029,60,camera_front
1700000002036496935,61,camera_front
1700000002069449028,62,camera_front
1700000002102848990,63,camera_front
1700000002136130232,64,camera_front
1700000002168666555,65,camera_front
1700000002202507107,66,camera_front
1700000002235734552,67,camera_front
1700000002268326219,68,camera_front
1700000002302191688,69,camera_front
1700000002335950391,70,camera_front
1700000002368675493,71,camera_front
1700000002401743883,72,camera_front
1700000002435688504,73,camera_front
1700000002468256506,74,camera_front
1700000002502371063,75,camera_front
1700000002535427426,76,camera_front
1700000002569270730,77,camera_front
1700000002602412500,78,camera_front
